2B (Nose Pokes),,,,,,2G (deltaF/F),,,,,,,,,,,,,,,,,,,,2H (deltaF/F),,,,,,,,,,,,,,,,,,
,,,,,,-0.03333,1.2,0.116666667,-0.2,0.1,-0.46947,0.253333,0.036667,0.228197,0.330714,0.747059,0.082143,-0.04643,-0.09474,-0.04587,0.261029,0.242308,0.237156,0.432258,,-0.03333,1.3375,2.016667,1.509091,2.58,1.257895,1.197778,1.045833,0.604918,0.973214,0.172727,1.741975,0.865823,1.401282,0.909333,0.895238,0.584615,0.846154,0.921053
,,,,,,0,1.233333333,0.133333333,-0.2,0.09,-0.43789,0.257778,0.02,0.239672,0.346786,0.705882,0.103571,-0.04643,-0.07368,-0.03486,0.256618,0.242308,0.233486,0.428226,,0,1.408333,2.033333,1.490909,2.63,1.263158,1.117778,1.029167,0.519672,0.8875,0.181818,1.751852,0.860759,1.414103,0.930667,0.814286,0.569231,0.850769,0.912281
,,,,,,0.03333,1.266666667,0.133333333,-0.190909091,0.09,-0.39053,0.262222,0.02,0.264262,0.346786,0.7,0.132143,-0.025,-0.06316,-0.02477,0.242647,0.241538,0.227523,0.425806,,0.03333,1.475,2.058333,1.490909,2.65,1.257895,1.048889,0.991667,0.478689,0.830357,0.172727,1.750617,0.851899,1.433333,0.958667,0.728571,0.546154,0.849231,0.861404
,,,,,,0.06667,1.166666667,0.133333333,-0.145454545,0.08,-0.33263,0.284444,0.003333,0.272459,0.371786,0.694118,0.146429,-0.0125,-0.05789,-0.00459,0.241176,0.248462,0.23211,0.420565,,0.06667,1.541667,2.041667,1.454545,2.66,1.242105,0.973333,0.954167,0.454098,0.764286,0.163636,1.745679,0.849367,1.460256,0.978667,0.657143,0.520513,0.850769,0.819298
,,,,,,0.1,1.1,0.125,-0.109090909,0.11,-0.28526,0.291111,0.003333,0.306885,0.395,0.652941,0.171429,-0.01071,-0.05789,0.019266,0.225,0.254615,0.227982,0.421774,,0.1,1.608333,2.041667,1.454545,2.69,1.252632,0.886667,0.920833,0.431148,0.671429,0.145455,1.739506,0.856962,1.478205,1,0.62381,0.512821,0.832308,0.766667
,,,,,,0.13333,0.966666667,0.158333333,-0.109090909,0.11,-0.24842,0.337778,0.0075,0.338033,0.395,0.641176,0.203571,0.016071,-0.03684,0.036697,0.225735,0.271538,0.225229,0.418952,,0.13333,1.6625,2.041667,1.445455,2.75,1.252632,0.806667,0.904167,0.421311,0.6375,0.181818,1.716049,0.860759,1.516667,1.014667,0.580952,0.494872,0.846154,0.717544
,,,,,,0.16667,0.866666667,0.183333333,-0.063636364,0.12,-0.21158,0.371111,0.02,0.357705,0.425357,0.611765,0.239286,0.035714,0,0.065138,0.224265,0.276923,0.229358,0.41371,,0.16667,1.733333,2.033333,1.4,2.78,1.247368,0.728889,0.866667,0.434426,0.623214,0.172727,1.696296,0.874684,1.533333,1.041333,0.552381,0.478205,0.830769,0.708772
,,,,,,0.2,0.8,0.233333333,-0.009090909,0.12,-0.15368,0.404444,0.045,0.405246,0.4575,0.617647,0.278571,0.071429,0.010526,0.1,0.228676,0.29,0.240367,0.412097,,0.2,1.754167,2.016667,1.409091,2.78,1.268421,0.655556,0.854167,0.445902,0.566071,0.227273,1.666667,0.86962,1.541026,1.066667,0.519048,0.465385,0.833846,0.714035
,,,,,,0.23333,0.833333333,0.225,0.027272727,0.12,-0.08526,0.446667,0.078333,0.44459,0.478929,0.611765,0.328571,0.092857,0.031579,0.114679,0.225,0.313846,0.247248,0.403629,,0.23333,1.791667,1.991667,1.418182,2.73,1.273684,0.595556,0.854167,0.488525,0.528571,0.245455,1.645679,0.888608,1.535897,1.092,0.514286,0.444872,0.844615,0.715789
,,,,,,0.26667,0.833333333,0.275,0.090909091,0.14,-0.00632,0.486667,0.111667,0.49377,0.527143,0.611765,0.396429,0.123214,0.078947,0.13578,0.222059,0.333077,0.255963,0.40121,,0.26667,1.820833,2.016667,1.409091,2.7,1.278947,0.535556,0.8,0.514754,0.501786,0.318182,1.62716,0.897468,1.542308,1.121333,0.504762,0.430769,0.867692,0.74386
,,,,,,0.3,0.9,0.283333333,0.172727273,0.16,0.051579,0.526667,0.1075,0.551148,0.580714,0.6,0.460714,0.151786,0.142105,0.157798,0.224265,0.347692,0.267431,0.4,,0.3,1.820833,1.975,1.409091,2.61,1.252632,0.471111,0.804167,0.555738,0.457143,0.354545,1.602469,0.924051,1.542308,1.145333,0.495238,0.430769,0.873846,0.763158
,,,,,,0.33333,1.066666667,0.308333333,0.209090909,0.19,0.114737,0.571111,0.128333,0.597049,0.630714,0.6,0.535714,0.194643,0.2,0.175229,0.229412,0.369231,0.278899,0.409677,,0.33333,1.8625,2.008333,1.409091,2.54,1.236842,0.404444,0.783333,0.598361,0.398214,0.381818,1.579012,0.925316,1.537179,1.16,0.5,0.420513,0.890769,0.792982
,,,,,,0.36667,1.2,0.341666667,0.281818182,0.25,0.162105,0.626667,0.153333,0.66918,0.67,0.611765,0.628571,0.226786,0.284211,0.189908,0.235294,0.387692,0.288991,0.408065,,0.36667,1.870833,1.958333,1.436364,2.49,1.236842,0.351111,0.766667,0.627869,0.360714,0.390909,1.553086,0.953165,1.524359,1.161333,0.480952,0.40641,0.907692,0.810526
,,,,,,0.4,1.433333333,0.416666667,0.318181818,0.32,0.22,0.671111,0.153333,0.74459,0.725357,0.611765,0.728571,0.266071,0.384211,0.217431,0.233088,0.410769,0.298165,0.409677,,0.4,1.870833,1.966667,1.390909,2.42,1.231579,0.32,0.745833,0.672131,0.335714,0.4,1.528395,0.974684,1.517949,1.173333,0.490476,0.401282,0.912308,0.822807
,,,,,,0.43333,1.6,0.491666667,0.363636364,0.41,0.262105,0.713333,0.203333,0.824918,0.775357,0.629412,0.825,0.321429,0.473684,0.23211,0.2375,0.423846,0.311927,0.420565,,0.43333,1.879167,1.941667,1.390909,2.33,1.210526,0.297778,0.704167,0.714754,0.301786,0.381818,1.461728,0.988608,1.516667,1.181333,0.480952,0.407692,0.915385,0.854386
,,,,,,0.46667,1.7,0.591666667,0.409090909,0.52,0.309474,0.768889,0.245,0.883934,0.830714,0.647059,0.907143,0.371429,0.578947,0.249541,0.241176,0.435385,0.322018,0.423387,,0.46667,1.875,1.95,1.381818,2.25,1.2,0.271111,0.7,0.762295,0.280357,0.381818,1.425926,1.001266,1.501282,1.194667,0.471429,0.417949,0.926154,0.863158
,,,,,,0.5,1.933333333,0.633333333,0.490909091,0.61,0.351579,0.811111,0.27,0.960984,0.866429,0.658824,0.971429,0.4125,0.673684,0.277064,0.248529,0.436923,0.336239,0.430242,,0.5,1.866667,1.966667,1.354545,2.21,1.215789,0.253333,0.670833,0.82459,0.264286,0.381818,1.396296,1.016456,1.485897,1.205333,0.461905,0.435897,0.926154,0.87193
,,,,,,0.53333,2.1,0.683333333,0.518181818,0.68,0.388421,0.862222,0.299167,1.031475,0.925357,0.670588,1.046429,0.45,0.768421,0.295413,0.257353,0.454615,0.345413,0.4375,,0.53333,1.879167,1.958333,1.327273,2.14,1.2,0.24,0.654167,0.870492,0.255357,0.372727,1.37037,1.037975,1.471795,1.217333,0.442857,0.448718,0.924615,0.873684
,,,,,,0.56667,2.333333333,0.741666667,0.590909091,0.74,0.42,0.9,0.340833,1.100328,0.980714,0.711765,1.110714,0.489286,0.852632,0.316514,0.259559,0.461538,0.356422,0.450403,,0.56667,1.858333,1.941667,1.281818,2.08,1.168421,0.226667,0.633333,0.92623,0.221429,0.4,1.34321,1.043038,1.455128,1.226667,0.438095,0.469231,0.92,0.884211
,,,,,,0.6,2.533333333,0.808333333,0.627272727,0.8,0.456842,0.953333,0.365833,1.14459,1.014643,0.723529,1.178571,0.530357,0.931579,0.343119,0.260294,0.478462,0.369266,0.454839,,0.6,1.845833,1.95,1.309091,2.01,1.168421,0.226667,0.6375,0.986885,0.230357,0.381818,1.320988,1.070886,1.430769,1.230667,0.42381,0.484615,0.935385,0.905263
,,,,,,0.63333,2.766666667,0.866666667,0.672727273,0.82,0.509474,0.997778,0.399167,1.162623,1.055714,0.758824,1.239286,0.557143,1.015789,0.366055,0.269853,0.486923,0.375229,0.469355,,0.63333,1.8375,1.958333,1.263636,1.95,1.157895,0.233333,0.620833,1.022951,0.226786,0.381818,1.288889,1.082278,1.412821,1.232,0.419048,0.502564,0.926154,0.933333
,,,,,,0.66667,2.766666667,0.916666667,0.727272727,0.88,0.535789,1.028889,0.436667,1.177377,1.075357,0.8,1.310714,0.589286,1.094737,0.384404,0.279412,0.506923,0.388991,0.475806,,0.66667,1.841667,1.95,1.290909,1.9,1.184211,0.242222,0.629167,1.083607,0.217857,0.381818,1.261728,1.098734,1.384615,1.228,0.428571,0.528205,0.895385,0.929825
,,,,,,0.7,2.9,0.991666667,0.763636364,0.97,0.572632,1.082222,0.47,1.190492,1.075357,0.805882,1.364286,0.632143,1.205263,0.405505,0.285294,0.509231,0.395413,0.481452,,0.7,1.841667,1.941667,1.3,1.84,1.168421,0.237778,0.604167,1.118033,0.230357,0.418182,1.241975,1.117722,1.351282,1.222667,0.42381,0.538462,0.875385,0.949123
,,,,,,0.73333,3.066666667,1.008333333,0.845454545,1.04,0.62,1.095556,0.524167,1.19377,1.096786,0.829412,1.421429,0.658929,1.289474,0.433945,0.297794,0.523846,0.401835,0.487097,,0.73333,1.829167,1.925,1.290909,1.81,1.163158,0.257778,0.6,1.154098,0.239286,0.427273,1.204938,1.120253,1.321795,1.213333,0.433333,0.552564,0.866154,0.947368
,,,,,,0.76667,3.166666667,0.991666667,0.909090909,1.13,0.688421,1.111111,0.57,1.174098,1.103929,0.864706,1.464286,0.698214,1.394737,0.462385,0.302206,0.54,0.413761,0.486694,,0.76667,1.833333,1.941667,1.290909,1.75,1.184211,0.273333,0.5875,1.186885,0.255357,0.372727,1.188889,1.120253,1.301282,1.185333,0.438095,0.565385,0.833846,0.964912
,,,,,,0.8,3.133333333,1.041666667,0.963636364,1.23,0.709474,1.126667,0.611667,1.131475,1.089643,0.888235,1.5,0.733929,1.521053,0.491743,0.313235,0.551538,0.417431,0.492742,,0.8,1.829167,1.933333,1.245455,1.73,1.2,0.275556,0.566667,1.201639,0.251786,0.372727,1.159259,1.126582,1.283333,1.173333,0.442857,0.562821,0.810769,0.963158
,,,,,,0.83333,3.066666667,1.058333333,1,1.32,0.735789,1.128889,0.661667,1.09541,1.089643,0.911765,1.542857,0.776786,1.647368,0.510092,0.324265,0.563846,0.426606,0.497581,,0.83333,1.829167,1.925,1.218182,1.71,1.189474,0.275556,0.554167,1.227869,0.273214,0.363636,1.124691,1.136709,1.255128,1.154667,0.433333,0.583333,0.772308,0.952632
,,,,,,0.86667,3,1.083333333,1.018181818,1.39,0.762105,1.135556,0.7325,1.065902,1.102143,0.911765,1.571429,0.808929,1.752632,0.526606,0.333088,0.576154,0.430275,0.504839,,0.86667,1.808333,1.916667,1.254545,1.68,1.205263,0.271111,0.558333,1.24918,0.271429,0.363636,1.097531,1.131646,1.242308,1.137333,0.442857,0.601282,0.755385,0.961404
,,,,,,0.9,2.9,1.066666667,1.081818182,1.49,0.798947,1.133333,0.761667,1.04459,1.084286,0.947059,1.596429,0.839286,1.826316,0.544954,0.340441,0.587692,0.431651,0.504435,,0.9,1.795833,1.908333,1.218182,1.67,1.221053,0.262222,0.5625,1.268852,0.283929,0.372727,1.075309,1.125316,1.223077,1.132,0.442857,0.60641,0.733846,0.978947
,,,,,,0.93333,2.833333333,1.033333333,1.127272727,1.56,0.814737,1.131111,0.803333,0.992131,1.046786,0.964706,1.596429,0.864286,1.905263,0.553211,0.341176,0.596154,0.436697,0.517742,,0.93333,1.783333,1.908333,1.236364,1.67,1.226316,0.244444,0.558333,1.290164,0.282143,0.390909,1.062963,1.125316,1.208974,1.116,0.457143,0.614103,0.696923,0.978947
,,,,,,0.96667,2.666666667,0.991666667,1.127272727,1.63,0.82,1.115556,0.828333,0.934754,0.991429,1,1.610714,0.892857,1.989474,0.566972,0.343382,0.610769,0.436239,0.517742,,0.96667,1.766667,1.9,1.227273,1.63,1.205263,0.222222,0.558333,1.301639,0.275,0.409091,1.055556,1.129114,1.201282,1.105333,0.466667,0.628205,0.667692,0.998246
,,,,,,1,2.566666667,1.016666667,1.145454545,1.71,0.862105,1.12,0.824167,0.872459,0.941429,1.023529,1.621429,0.930357,2.042105,0.591743,0.353676,0.619231,0.439908,0.521774,,1,1.7625,1.925,1.218182,1.65,1.184211,0.215556,0.5625,1.3,0.291071,0.427273,1.030864,1.135443,1.164103,1.092,0.461905,0.642308,0.66,0.994737
,,,,,,1.03333,2.433333333,1.05,1.190909091,1.78,0.872632,1.115556,0.82,0.851148,0.877143,1.058824,1.603571,0.955357,2.105263,0.60367,0.358088,0.619231,0.454128,0.531048,,1.03333,1.725,1.925,1.236364,1.65,1.205263,0.202222,0.545833,1.303279,0.303571,0.390909,1.01358,1.143038,1.138462,1.077333,0.461905,0.653846,0.652308,1.012281
,,,,,,1.06667,2.266666667,1.041666667,1.236363636,1.83,0.893684,1.104444,0.836667,0.823279,0.843214,1.070588,1.621429,0.973214,2.126316,0.619266,0.369853,0.637692,0.461927,0.529435,,1.06667,1.7125,1.908333,1.245455,1.66,1.2,0.195556,0.5875,1.301639,0.305357,0.409091,1.008642,1.153165,1.117949,1.061333,0.480952,0.671795,0.627692,1.026316
,,,,,,1.1,2.133333333,1.033333333,1.290909091,1.86,0.883158,1.111111,0.8325,0.821639,0.800357,1.082353,1.614286,1,2.184211,0.637615,0.366912,0.650769,0.458257,0.532661,,1.1,1.679167,1.858333,1.263636,1.67,1.2,0.175556,0.5625,1.290164,0.282143,0.4,0.995062,1.158228,1.084615,1.050667,0.471429,0.676923,0.606154,1.047368
,,,,,,1.13333,2,1.091666667,1.336363636,1.92,0.935789,1.102222,0.8075,0.797049,0.750357,1.117647,1.592857,1.007143,2.210526,0.649541,0.367647,0.671538,0.462844,0.541935,,1.13333,1.6625,1.858333,1.272727,1.67,1.173684,0.162222,0.55,1.290164,0.273214,0.4,0.991358,1.168354,1.064103,1.048,0.47619,0.674359,0.590769,1.070175
,,,,,,1.16667,1.866666667,1.075,1.4,1.97,0.941053,1.084444,0.824167,0.780656,0.734286,1.111765,1.553571,1.025,2.242105,0.658716,0.369853,0.674615,0.46055,0.547177,,1.16667,1.570833,1.858333,1.3,1.62,1.194737,0.142222,0.533333,1.295082,0.294643,0.409091,0.975309,1.163291,1.026923,1.038667,0.485714,0.658974,0.587692,1.082456
,,,,,,1.2,1.7,1.083333333,1.445454545,1.98,0.941053,1.068889,0.849167,0.764262,0.698571,1.117647,1.535714,1.058929,2.242105,0.666055,0.373529,0.69,0.456422,0.550403,,1.2,1.554167,1.875,1.354545,1.63,1.194737,0.133333,0.541667,1.3,0.2875,0.436364,0.964198,1.15443,1.001282,1.028,0.471429,0.653846,0.569231,1.089474
,,,,,,1.23333,1.6,1.075,1.472727273,2,0.977895,1.062222,0.87,0.765902,0.67,1.117647,1.489286,1.058929,2.268421,0.681651,0.377941,0.704615,0.46055,0.554435,,1.23333,1.545833,1.883333,1.381818,1.63,1.184211,0.115556,0.570833,1.311475,0.278571,0.436364,0.97284,1.153165,0.984615,1.002667,0.504762,0.661538,0.550769,1.070175
,,,,,,1.26667,1.366666667,1.108333333,1.463636364,2.11,0.988421,1.037778,0.890833,0.772459,0.634286,1.123529,1.45,1.067857,2.257895,0.694495,0.3875,0.719231,0.473394,0.552419,,1.26667,1.525,1.866667,1.409091,1.6,1.147368,0.106667,0.566667,1.306557,0.282143,0.445455,0.962963,1.149367,0.966667,1,0.509524,0.665385,0.546154,1.064912
,,,,,,1.3,1.266666667,1.116666667,1.481818182,2.15,1.004211,1,0.936667,0.774098,0.611071,1.129412,1.435714,1.1125,2.263158,0.725688,0.391176,0.736923,0.479358,0.553629,,1.3,1.495833,1.841667,1.409091,1.59,1.157895,0.088889,0.579167,1.295082,0.3125,0.454545,0.938272,1.135443,0.966667,0.98,0.5,0.664103,0.516923,1.05614
,,,,,,1.33333,1.133333333,1.15,1.427272727,2.23,1.009474,0.962222,0.978333,0.767541,0.578929,1.182353,1.396429,1.117857,2.252632,0.748624,0.400735,0.761538,0.486697,0.558065,,1.33333,1.504167,1.85,1.427273,1.57,1.152632,0.093333,0.575,1.304918,0.325,0.454545,0.92716,1.129114,0.948718,0.949333,0.509524,0.683333,0.5,1.038596
,,,,,,1.36667,1,1.166666667,1.418181818,2.31,1.041053,0.948889,0.999167,0.757705,0.548571,1.194118,1.367857,1.1375,2.242105,0.774312,0.397059,0.757692,0.490367,0.560887,,1.36667,1.495833,1.841667,1.472727,1.55,1.147368,0.088889,0.6,1.321311,0.307143,0.472727,0.912346,1.125316,0.958974,0.926667,0.514286,0.683333,0.481538,1.038596
,,,,,,1.4,0.9,1.225,1.390909091,2.33,1.046316,0.908889,0.990833,0.757705,0.503929,1.182353,1.335714,1.15,2.242105,0.790826,0.397794,0.763846,0.497248,0.563306,,1.4,1.491667,1.833333,1.472727,1.57,1.142105,0.068889,0.595833,1.319672,0.307143,0.472727,0.903704,1.105063,0.95,0.908,0.528571,0.676923,0.453846,1.010526
,,,,,,1.43333,0.8,1.25,1.354545455,2.38,1.056842,0.864444,1.003333,0.760984,0.47,1.164706,1.307143,1.142857,2.205263,0.808257,0.405147,0.776154,0.497248,0.562903,,1.43333,1.4875,1.841667,1.509091,1.56,1.131579,0.057778,0.591667,1.308197,0.307143,0.454545,0.891358,1.088608,0.939744,0.877333,0.542857,0.664103,0.409231,1.005263
,,,,,,1.46667,0.766666667,1.316666667,1.309090909,2.36,1.072632,0.824444,1.02,0.764262,0.439643,1.176471,1.303571,1.141071,2.168421,0.829358,0.419853,0.786154,0.491284,0.568548,,1.46667,1.4625,1.841667,1.518182,1.55,1.110526,0.053333,0.583333,1.311475,0.323214,0.481818,0.890123,1.087342,0.928205,0.854667,0.542857,0.673077,0.4,0.998246
,,,,,,1.5,0.7,1.358333333,1.272727273,2.36,1.088421,0.791111,1.049167,0.77082,0.421786,1.164706,1.267857,1.139286,2.131579,0.846789,0.427206,0.787692,0.504128,0.57621,,1.5,1.445833,1.858333,1.454545,1.53,1.121053,0.048889,0.583333,1.32459,0.298214,0.527273,0.877778,1.082278,0.921795,0.829333,0.547619,0.664103,0.392308,1.001754
,,,,,,1.53333,0.7,1.383333333,1.263636364,2.37,1.104211,0.766667,1.036667,0.779016,0.409286,1.152941,1.235714,1.119643,2.094737,0.855963,0.433824,0.801538,0.504587,0.570565,,1.53333,1.425,1.908333,1.518182,1.5,1.110526,0.04,0.604167,1.32459,0.2875,0.554545,0.858025,1.067089,0.9,0.812,0.542857,0.666667,0.381538,0.989474
,,,,,,1.56667,0.666666667,1.425,1.227272727,2.33,1.098947,0.735556,1.095,0.792131,0.398571,1.158824,1.207143,1.110714,2.063158,0.879817,0.438971,0.810769,0.51055,0.580645,,1.56667,1.4125,1.941667,1.509091,1.5,1.1,0.033333,0.579167,1.322951,0.2875,0.563636,0.844444,1.05443,0.879487,0.781333,0.528571,0.667949,0.38,0.963158
,,,,,,1.6,0.566666667,1.466666667,1.245454545,2.31,1.088421,0.695556,1.103333,0.801967,0.378929,1.147059,1.182143,1.092857,2.042105,0.886239,0.451471,0.82,0.50367,0.58629,,1.6,1.408333,1.95,1.509091,1.49,1.089474,0.028889,0.579167,1.321311,0.269643,0.609091,0.828395,1.032911,0.853846,0.766667,0.52381,0.651282,0.376923,0.959649
,,,,,,1.63333,0.566666667,1.475,1.236363636,2.26,1.093684,0.677778,1.099167,0.811803,0.364643,1.117647,1.142857,1.071429,2.010526,0.89633,0.457353,0.816154,0.505963,0.582661,,1.63333,1.4125,1.95,1.490909,1.44,1.078947,0.033333,0.575,1.327869,0.269643,0.618182,0.820988,1.012658,0.825641,0.745333,0.514286,0.648718,0.384615,0.949123
,,,,,,1.66667,0.533333333,1.533333333,1.254545455,2.21,1.098947,0.646667,1.099167,0.806885,0.345,1.123529,1.125,1.055357,1.968421,0.909174,0.465441,0.813846,0.504128,0.575806,,1.66667,1.391667,1.975,1.463636,1.44,1.068421,0.044444,0.55,1.327869,0.266071,0.663636,0.81358,1.007595,0.797436,0.728,0.5,0.65641,0.376923,0.950877
,,,,,,1.7,0.533333333,1.566666667,1.290909091,2.19,1.109474,0.635556,1.090833,0.813443,0.330714,1.094118,1.092857,1.044643,1.905263,0.918349,0.481618,0.796923,0.509174,0.579435,,1.7,1.366667,2,1.481818,1.46,1.052632,0.048889,0.554167,1.347541,0.260714,0.718182,0.788889,0.992405,0.779487,0.72,0.485714,0.65,0.386154,0.947368
,,,,,,1.73333,0.5,1.641666667,1.309090909,2.15,1.125263,0.593333,1.095,0.811803,0.312857,1.070588,1.089286,1.0375,1.852632,0.933945,0.4875,0.799231,0.509633,0.582661,,1.73333,1.3625,2,1.463636,1.43,1.057895,0.055556,0.541667,1.332787,0.267857,0.754545,0.785185,0.983544,0.760256,0.7,0.461905,0.633333,0.4,0.924561
,,,,,,1.76667,0.466666667,1.691666667,1.318181818,2.12,1.146316,0.58,1.0575,0.811803,0.291429,1.047059,1.085714,1.041071,1.8,0.949541,0.497794,0.790769,0.511009,0.584274,,1.76667,1.341667,2,1.463636,1.43,1.052632,0.048889,0.558333,1.336066,0.280357,0.818182,0.755556,0.963291,0.735897,0.677333,0.461905,0.638462,0.395385,0.912281
,,,,,,1.8,0.466666667,1.741666667,1.345454545,2.13,1.135789,0.56,1.045,0.813443,0.259286,1.047059,1.039286,1.030357,1.726316,0.96055,0.497059,0.786923,0.504128,0.595161,,1.8,1.341667,2,1.454545,1.41,1.057895,0.037778,0.55,1.332787,0.282143,0.827273,0.735802,0.944304,0.720513,0.650667,0.452381,0.634615,0.406154,0.894737
,,,,,,1.83333,0.466666667,1.75,1.390909091,2.11,1.135789,0.522222,1.0075,0.829836,0.271786,1.023529,1.003571,1.026786,1.678947,0.957798,0.5,0.79,0.508257,0.591935,,1.83333,1.3375,1.991667,1.436364,1.35,1.031579,0.033333,0.520833,1.367213,0.282143,0.836364,0.711111,0.937975,0.708974,0.638667,0.433333,0.634615,0.409231,0.882456
,,,,,,1.86667,0.466666667,1.825,1.409090909,2.12,1.151579,0.495556,0.978333,0.856066,0.268214,0.982353,0.946429,1.023214,1.663158,0.968807,0.503676,0.790769,0.51789,0.587903,,1.86667,1.345833,1.966667,1.418182,1.36,1.042105,0.046667,0.520833,1.372131,0.294643,0.854545,0.683951,0.93038,0.698718,0.632,0.409524,0.639744,0.415385,0.852632
,,,,,,1.9,0.466666667,1.833333333,1.418181818,2.09,1.141053,0.488889,0.9325,0.89541,0.245,0.970588,0.917857,1.028571,1.626316,0.974312,0.516912,0.792308,0.516514,0.594758,,1.9,1.354167,1.975,1.418182,1.35,1.026316,0.053333,0.529167,1.37377,0.296429,0.881818,0.646914,0.931646,0.694872,0.62,0.428571,0.632051,0.427692,0.838596
,,,,,,1.93333,0.433333333,1.875,1.472727273,2.09,1.162105,0.471111,0.895,0.926557,0.237857,0.941176,0.885714,1.016071,1.557895,0.974312,0.517647,0.784615,0.52156,0.592742,,1.93333,1.345833,1.95,1.418182,1.36,1.036842,0.062222,0.504167,1.37377,0.303571,0.9,0.641975,0.910127,0.689744,0.618667,0.419048,0.624359,0.418462,0.824561
,,,,,,1.96667,0.366666667,1.858333333,1.481818182,2.07,1.162105,0.451111,0.878333,0.956066,0.2325,0.888235,0.867857,1.019643,1.542105,0.97156,0.535294,0.783077,0.532569,0.582661,,1.96667,1.3625,1.983333,1.409091,1.36,1.031579,0.057778,0.483333,1.380328,0.291071,0.927273,0.623457,0.886076,0.687179,0.618667,0.419048,0.621795,0.421538,0.789474
,,,,,,2,0.366666667,1.883333333,1.463636364,2.08,1.167368,0.426667,0.853333,0.96918,0.212857,0.841176,0.853571,1.017857,1.531579,0.977982,0.550735,0.778462,0.534862,0.583468,,2,1.3375,1.983333,1.381818,1.36,0.989474,0.053333,0.470833,1.359016,0.2875,0.945455,0.607407,0.873418,0.678205,0.622667,0.42381,0.619231,0.446154,0.770175
